[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002698s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003117s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | SQL: SHOW COLUMNS FROM `think_group` [ RunTime:0.009619s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | SQL: SELECT * FROM `think_group` WHERE member='taowen112'  [ RunTime:0.000695s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | SQL: SHOW COLUMNS FROM `think_title` [ RunTime:0.009430s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8] Undefined variable: count IndexAction.class.php 第 23 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 33 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8] Undefined variable: news_list IndexAction.class.php 第 38 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Tag[ view_template ] --START--
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002455s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002838s ]
[ 2014-12-15T09:01:55+08:00 ] /web/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2014-12-15T09:01:55+08:00 ] /web/ | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
